Date;SIE;ALVG;VOWG
09-Okt-2024;184.4600;293.4000;93.4400
08-Okt-2024;180.1800;290.9000;92.4800
07-Okt-2024;184.3800;292.3000;93.8200
04-Okt-2024;182.8800;291.8000;93.9800
03-Okt-2024;179.5800;289.7000;91.3800
02-Okt-2024;180.6200;291.8000;92.8400
01-Okt-2024;179.8600;293.5000;93.3000
30-Sep-2024;181.3400;295.0000;95.1600
27-Sep-2024;182.8600;296.5000;97.1200
26-Sep-2024;181.7400;295.8000;95.0200
25-Sep-2024;172.5400;294.1000;93.1200
24-Sep-2024;170.3400;295.7000;94.2600
23-Sep-2024;167.5000;294.9000;92.7600
20-Sep-2024;166.6600;291.8000;90.8200
19-Sep-2024;169.9200;291.8000;93.8400
18-Sep-2024;165.7200;288.4000;92.6200
17-Sep-2024;166.3600;288.4000;92.3200
16-Sep-2024;162.9000;287.5000;91.0800
13-Sep-2024;164.0600;286.6000;92.3800
12-Sep-2024;164.3000;284.7000;89.9600
11-Sep-2024;162.1400;283.3000;89.2000
10-Sep-2024;162.3600;282.9000;88.6600
09-Sep-2024;162.6000;283.7000;91.7600
06-Sep-2024;161.1400;280.2000;92.0000
05-Sep-2024;165.2200;283.6000;94.8200
04-Sep-2024;166.7200;280.9000;95.0200
03-Sep-2024;168.1200;282.0000;96.2200
02-Sep-2024;170.5600;281.9000;97.3800
30-Aug-2024;169.9200;280.9000;96.1800
29-Aug-2024;170.2200;280.9000;96.1400
28-Aug-2024;168.2200;280.7000;96.3000
27-Aug-2024;167.1200;276.3000;96.8200
26-Aug-2024;167.8000;275.0000;96.7800
23-Aug-2024;167.1000;276.1000;97.0000
22-Aug-2024;164.8800;272.4000;96.5200
21-Aug-2024;164.8600;271.6000;96.4800
20-Aug-2024;163.8200;270.5000;96.0600
19-Aug-2024;164.2600;269.7000;96.3000
16-Aug-2024;163.2000;267.0000;95.2600
15-Aug-2024;162.7000;263.5000;94.6800
14-Aug-2024;159.3000;259.0000;92.6200
13-Aug-2024;158.9400;256.9000;92.9400
12-Aug-2024;157.2000;255.9000;93.5000
09-Aug-2024;157.1800;255.9000;93.9400
08-Aug-2024;159.2000;253.9000;94.2600
07-Aug-2024;155.9400;249.2000;94.3000
06-Aug-2024;154.0000;244.6000;93.0800
05-Aug-2024;155.1400;245.5000;93.9000
02-Aug-2024;157.8000;251.3000;96.8600
01-Aug-2024;164.5400;253.9000;99.1800
31-Jul-2024;169.4200;260.8000;103.2000
30-Jul-2024;168.5000;261.9000;104.0500
29-Jul-2024;167.8400;258.8000;104.3000
26-Jul-2024;169.8200;261.1000;104.8000
25-Jul-2024;168.8200;258.9000;104.6500
24-Jul-2024;171.4400;259.7000;105.3500
23-Jul-2024;173.6200;262.6000;105.6500
22-Jul-2024;173.2600;262.3000;106.6500
19-Jul-2024;170.4400;259.4000;105.6000
18-Jul-2024;170.5200;262.6000;107.6000
17-Jul-2024;178.4000;263.0000;106.4500
16-Jul-2024;181.5600;263.2000;106.9500
15-Jul-2024;180.8800;265.2000;108.2000
12-Jul-2024;184.1600;266.7000;108.5500
11-Jul-2024;178.9000;264.1000;107.1500
10-Jul-2024;176.3800;262.3000;106.2500
09-Jul-2024;173.2600;259.9000;106.6000
